Date,PM10,SO2,CO,O3,NO2,Max,Critical Component,Category
7/11/2020,19,1,25,3,0,25,CO,Good
7/12/2020,19,1,21,10,0,21,CO,Good
7/13/2020,24,1,28,15,0,28,CO,Good
7/14/2020,21,1,25,11,0,25,CO,Good
7/15/2020,26,1,33,11,0,33,CO,Good
7/16/2020,23,1,24,12,0,24,CO,Good
7/17/2020,35,1,33,20,0,35,PM10,Good
7/18/2020,17,0,12,11,0,17,PM10,Good
7/19/2020,21,1,30,7,0,30,CO,Good
7/20/2020,10,0,15,4,0,15,CO,Good
7/21/2020,16,1,21,11,0,21,CO,Good
7/22/2020,21,1,30,36,0,36,O3,Good
7/23/2020,22,0,32,23,0,32,CO,Good
7/24/2020,18,0,57,22,0,57,CO,Moderate
7/25/2020,14,2,46,0,0,46,CO,Good
7/26/2020,25,1,21,8,0,25,PM10,Good
7/27/2020,28,1,21,12,0,28,PM10,Good
7/28/2020,19,1,10,7,0,19,PM10,Good
7/29/2020,13,1,5,11,0,13,PM10,Good
7/30/2020,18,1,19,7,0,19,CO,Good
7/31/2020,18,1,7,7,0,18,PM10,Good
8/1/2020,20,1,0,0,0,20,PM10,Good
8/2/2020,22,1,2,0,0,22,PM10,Good
8/3/2020,17,1,11,5,0,17,PM10,Good
8/4/2020,24,1,9,0,0,24,PM10,Good
8/5/2020,26,1,11,3,0,26,PM10,Good
8/6/2020,26,1,23,25,0,26,PM10,Good
8/7/2020,17,1,37,57,0,57,O3,Moderate
8/8/2020,20,1,12,49,0,49,O3,Good
8/9/2020,39,0,20,37,0,39,PM10,Good
8/10/2020,45,0,30,0,0,45,PM10,Good
8/11/2020,39,1,38,6,0,39,PM10,Good
8/12/2020,17,1,23,11,0,23,CO,Good
8/13/2020,17,1,51,9,0,51,CO,Moderate
8/14/2020,20,1,11,0,0,20,PM10,Good
8/15/2020,19,4,18,15,0,19,PM10,Good
8/16/2020,19,0,11,6,0,19,PM10,Good
8/17/2020,14,0,10,10,0,14,PM10,Good
8/18/2020,16,0,13,11,0,16,PM10,Good
8/19/2020,15,0,14,14,0,15,PM10,Good
8/20/2020,19,0,17,16,0,19,PM10,Good
8/21/2020,22,0,18,19,0,22,PM10,Good
8/22/2020,35,0,20,22,0,35,PM10,Good
8/23/2020,37,0,16,22,0,37,PM10,Good
8/24/2020,17,0,9,20,0,20,O3,Good
8/25/2020,23,0,17,22,0,23,PM10,Good
8/26/2020,13,0,8,22,0,22,O3,Good
8/27/2020,21,1,22,27,0,27,O3,Good
8/28/2020,21,0,11,23,0,23,O3,Good
8/29/2020,16,0,3,21,0,21,O3,Good
8/30/2020,20,0,14,27,0,27,O3,Good
8/31/2020,20,0,13,30,0,30,O3,Good
9/1/2020,21,0,15,24,0,24,O3,Good
9/2/2020,14,0,11,20,0,20,O3,Good
9/3/2020,12,0,10,17,0,17,O3,Good
9/4/2020,14,0,19,17,0,19,CO,Good
9/5/2020,23,0,16,13,0,23,PM10,Good
9/6/2020,12,0,8,16,0,16,O3,Good
9/7/2020,13,0,10,15,0,15,O3,Good
9/8/2020,19,0,18,16,0,19,PM10,Good
9/9/2020,27,0,21,21,0,27,PM10,Good
9/10/2020,26,0,19,18,0,26,PM10,Good
9/11/2020,20,0,11,19,0,20,PM10,Good
9/12/2020,18,0,20,21,0,21,O3,Good
9/13/2020,13,0,12,20,0,20,O3,Good
9/14/2020,20,0,16,19,0,20,PM10,Good
9/15/2020,14,0,13,19,0,19,O3,Good
9/16/2020,14,0,11,18,0,18,O3,Good
9/17/2020,21,0,22,24,0,24,O3,Good
9/18/2020,20,0,20,24,0,24,O3,Good
9/19/2020,23,0,20,23,0,23,"PM10,O3",Good
9/20/2020,23,0,12,20,0,23,PM10,Good
9/21/2020,13,0,6,15,0,15,O3,Good
9/22/2020,14,0,17,13,0,17,CO,Good
9/23/2020,13,0,29,20,0,29,CO,Good
9/24/2020,13,0,10,11,0,13,PM10,Good
9/25/2020,15,1,10,13,0,15,PM10,Good
9/26/2020,10,0,6,12,0,12,O3,Good
9/27/2020,10,0,2,11,0,11,O3,Good
9/28/2020,11,0,6,14,0,14,O3,Good
9/29/2020,13,0,7,14,0,14,O3,Good
9/30/2020,14,0,9,17,0,17,O3,Good
10/1/2020,13,0,7,18,0,18,O3,Good
10/2/2020,15,0,12,16,0,16,O3,Good
10/3/2020,11,0,8,14,0,14,O3,Good
10/4/2020,10,0,10,16,0,16,O3,Good
10/5/2020,11,0,9,18,0,18,O3,Good
10/6/2020,13,0,15,20,0,20,O3,Good
10/7/2020,15,0,10,28,0,28,O3,Good
10/8/2020,16,0,10,23,0,23,O3,Good
10/9/2020,14,0,11,22,0,22,O3,Good
10/10/2020,14,0,11,17,0,17,O3,Good
10/11/2020,20,0,28,14,0,28,CO,Good
10/12/2020,13,0,18,17,0,18,CO,Good
10/13/2020,14,0,16,14,0,16,CO,Good
10/14/2020,19,0,17,16,0,19,PM10,Good
10/15/2020,17,0,11,16,0,17,PM10,Good
10/16/2020,14,0,11,15,0,15,O3,Good
10/17/2020,15,0,13,17,0,17,O3,Good
10/18/2020,16,0,12,13,0,16,PM10,Good
10/19/2020,17,0,17,20,0,20,O3,Good
10/20/2020,22,0,39,20,0,39,CO,Good
10/21/2020,15,0,14,19,0,19,O3,Good
10/22/2020,27,0,51,22,0,51,CO,Moderate
10/23/2020,17,0,20,16,0,20,CO,Good
10/24/2020,17,0,22,13,0,22,CO,Good
10/25/2020,14,0,20,11,0,20,CO,Good
10/26/2020,8,0,20,16,0,20,CO,Good
10/27/2020,7,0,27,13,0,27,CO,Good
10/28/2020,22,5,40,14,0,40,CO,Good
10/29/2020,16,1,25,6,0,25,CO,Good
10/30/2020,24,0,20,11,0,24,PM10,Good
10/31/2020,23,0,25,23,0,25,CO,Good
11/1/2020,19,0,23,33,0,33,O3,Good
11/2/2020,7,0,19,20,0,20,O3,Good
11/3/2020,10,0,21,19,0,21,CO,Good
11/4/2020,15,5,28,30,0,30,O3,Good
11/5/2020,17,0,21,27,0,27,O3,Good
11/6/2020,13,0,21,25,0,25,O3,Good
11/7/2020,11,0,18,25,0,25,O3,Good
11/8/2020,16,0,19,24,0,24,O3,Good
11/9/2020,16,0,18,21,0,21,O3,Good
11/10/2020,12,0,18,22,0,22,O3,Good
11/11/2020,12,0,18,22,0,22,O3,Good
11/12/2020,19,0,20,21,0,21,O3,Good
11/13/2020,26,0,20,26,0,26,"PM10,O3",Good
11/14/2020,14,0,20,34,0,34,O3,Good
11/15/2020,21,0,24,36,0,36,O3,Good
11/16/2020,11,0,21,30,0,30,O3,Good
11/17/2020,10,0,16,29,0,29,O3,Good
11/18/2020,10,0,17,31,0,31,O3,Good
11/19/2020,14,0,18,31,0,31,O3,Good
11/20/2020,11,0,21,35,0,35,O3,Good
