Rank,Country/Region,2021,2020,2019,2018,Population
102,Andorra,7.3,7.4,8.95,7.8,77265
103,Liechtenstein,7.2,8.25,8.1,8.5,38137
104,Trinidad and Tobago,7.1,8.25,8.4,8.55,1399491
105,Portugal,7.1,9.1,9.3,9.4,10196707
106,New Zealand,6.8,7.0,7.5,7.7,4822233
107,Sweden,6.6,5.0,6.6,7.4,10099270
108,Iceland,6.1,7.2,5.5,5.0,341250
109,Estonia,5.9,5.9,6.2,7.2,1326539
110,Australia,5.7,7.6,8.0,6.8,25499881
111,Bahamas,5.5,6.3,6.8,6.7,393248
112,Grenada,5.5,6.3,6.8,6.7,112519
113,Finland,5.5,5.0,5.6,6.6,5540718
114,"Bonaire, Saint Eustatius and Saba",5.1,4.35,7.9,10.15,26221
115,Cape Verde,5.1,4.35,7.9,10.15,555988
116,Puerto Rico,4.8,3.7,10.2,13.7,2860840
117,U.S. Virgin Islands,4.5,3.7,3.5,6.9,104423
118,New Caledonia,3.8,3.7,6.85,10.15,285491
